Date,MSCI_ACWI,Bloomberg_Aggregate,MSCI_EM,SP500,US_10Y_TIPS,Vanguard_SmallCap (Alts Proxy),US_10Y_Treas,JPY Hedged Equity,CPI
6/1/2012,34.16854095,83.12841797,30.18077278,1362.160034,91.22452545,63.54515839,86.89057922,11.83301663,-0.146639688
7/1/2012,34.92565155,84.27165985,30.53417969,1379.319946,93.16810608,62.91006088,88.11619568,12.07176587,-0.162978586
8/1/2012,35.89689636,84.27587128,30.65908051,1406.579956,93.2135849,65.14969635,88.01282501,12.14828533,0.556515818
9/1/2012,36.86815262,84.50098419,32.25915146,1440.670044,93.69065857,66.97146606,87.71485901,12.26952895,0.446221227
10/1/2012,36.6786499,84.47021484,32.11865616,1412.160034,94.27544403,66.01043701,87.37496948,12.4200359,-0.038892514
11/1/2012,37.2629776,84.67121124,32.61819077,1416.180054,94.57558441,66.83777618,88.22658539,12.29834738,-0.473808669
12/1/2012,37.96574783,83.97059631,34.61634445,1426.189941,93.6445694,67.60659027,87.28159332,12.31587729,-0.269306449
1/1/2013,39.78865814,84.12115479,34.73529053,1498.109985,93.53459167,73.22241974,86.38288116,12.35955739,0.295730419
2/1/2013,39.74878693,84.4564743,33.94191742,1514.680054,93.71273041,74.14151764,87.24585724,12.67925268,0.819002953
3/1/2013,40.47452927,84.5418396,33.59630203,1569.189941,93.91403198,77.57116699,87.50794983,12.74976301,0.261450858
4/1/2013,41.62297058,85.32115936,34.00475693,1597.569946,94.59555054,77.81559753,88.82791901,12.98338423,-0.103963948
5/1/2013,41.4634552,83.65879822,32.36305618,1630.73999,90.45786285,80.6160202,86.0792923,13.10186285,0.178040777
6/1/2013,39.87639236,82.35112762,30.24216843,1606.280029,87.02173615,79.76483154,83.87850952,13.23930546,0.239970809
7/1/2013,42.23432922,82.56788635,31.04533577,1685.72998,87.91054535,85.17838287,83.58203125,13.14075439,0.039399753
8/1/2013,41.26509857,81.88031006,30.25746346,1632.969971,86.36645508,82.42053986,82.3908844,13.47397992,0.120293156
9/1/2013,43.55087662,82.80170441,32.43804169,1681.550049,87.85595703,87.23825836,83.90177917,13.26637431,0.116300449
10/1/2013,45.27126312,83.4980545,33.79095078,1756.540039,88.20333099,90.01311493,84.55482483,13.46668808,-0.257528326
11/1/2013,45.97395325,83.29046631,33.70339966,1805.810059,87.21646881,92.45602417,83.80812836,13.7738149,-0.204242419
12/1/2013,46.53933716,82.65305328,33.26570129,1848.359985,85.97006226,93.58808899,81.91726685,13.96973677,-0.00858115
1/1/2014,44.75083923,84.25138855,30.66745567,1782.589966,87.84789276,92.85909271,84.70227814,14.1362819,0.372024767
2/1/2014,47.0799942,84.40731812,31.70336533,1859.449951,88.23150635,97.57575989,84.85968781,13.88917333,0.369790865
3/1/2014,47.34873962,84.287323,32.93198776,1872.339966,87.76179504,97.39468384,84.39123535,14.19520078,0.644004413
4/1/2014,47.91068268,84.97551727,33.18894196,1883.949951,88.92048645,95.02238464,85.01010132,14.24457365,0.329675445
5/1/2014,48.87164688,85.98394775,34.16864395,1923.569946,90.49404144,96.22102356,86.55938721,14.2888748,0.349260984
